INDICATOR_NAME,PERIOD_YEAR,PERIOD_MONTH,YTD_TARGET,YTD_ACTUAL,MONTHLY_TARGET,MONTHLY_ACTUAL,ON_TIME,DAYS_ON_TIME
OTP (Terminal) - 1 Line,2011,1,0.915,0.908,0.915,0.908,0,18.16
OTP (Terminal) - 1 Line,2011,2,0.915,0.913,0.915,0.919,1,18.38
OTP (Terminal) - 1 Line,2011,3,0.915,0.916,0.915,0.92,1,18.4
OTP (Terminal) - 1 Line,2011,4,0.915,0.913,0.915,0.905,0,18.1
OTP (Terminal) - 1 Line,2011,5,0.915,0.913,0.915,0.913,0,18.26
OTP (Terminal) - 1 Line,2011,6,0.915,0.913,0.915,0.892,0,17.84
OTP (Terminal) - 1 Line,2011,7,0.915,0.912,0.915,0.906,0,18.12
OTP (Terminal) - 1 Line,2011,8,0.915,0.914,0.915,0.928,1,18.56
OTP (Terminal) - 1 Line,2011,9,0.915,0.908,0.915,0.858,0,17.16
OTP (Terminal) - 1 Line,2011,10,0.915,0.909,0.915,0.914,0,18.28
OTP (Terminal) - 1 Line,2011,11,0.915,0.909,0.915,0.91,0,18.2
OTP (Terminal) - 1 Line,2011,12,0.915,0.907,0.915,0.891,0,17.82
OTP (Terminal) - 1 Line,2012,1,0.915,0.89,0.915,0.89,0,17.8
OTP (Terminal) - 1 Line,2012,2,0.915,0.89,0.915,0.89,0,17.8
OTP (Terminal) - 1 Line,2012,3,0.915,0.893,0.915,0.9,0,18
OTP (Terminal) - 1 Line,2012,4,0.915,0.891,0.915,0.884,0,17.68
OTP (Terminal) - 1 Line,2012,5,0.915,0.892,0.915,0.894,0,17.88
OTP (Terminal) - 1 Line,2012,6,0.915,0.894,0.915,0.903,0,18.06
OTP (Terminal) - 1 Line,2012,7,0.915,0.892,0.915,0.885,0,17.7
OTP (Terminal) - 1 Line,2012,8,0.915,0.893,0.915,0.894,0,17.88
OTP (Terminal) - 1 Line,2012,9,0.915,0.89,0.915,0.866,0,17.32
OTP (Terminal) - 1 Line,2012,10,0.915,0.888,0.915,0.873,0,17.46
OTP (Terminal) - 1 Line,2012,11,0.915,0.885,0.915,0.777,0,15.54
OTP (Terminal) - 1 Line,2012,12,0.915,0.883,0.915,0.907,0,18.14
OTP (Terminal) - 1 Line,2013,1,0.915,0.868,0.915,0.868,0,17.36
OTP (Terminal) - 1 Line,2013,2,0.915,0.854,0.915,0.838,0,16.76
OTP (Terminal) - 1 Line,2013,3,0.915,0.864,0.915,0.885,0,17.7
OTP (Terminal) - 1 Line,2013,4,0.915,0.861,0.915,0.852,0,17.04
OTP (Terminal) - 1 Line,2013,5,0.915,0.86,0.915,0.856,0,17.12
OTP (Terminal) - 1 Line,2013,6,0.915,0.859,0.915,0.856,0,17.12
OTP (Terminal) - 1 Line,2013,7,0.915,0.851,0.915,0.807,0,16.14
OTP (Terminal) - 1 Line,2013,8,0.915,0.845,0.915,0.805,0,16.1
OTP (Terminal) - 1 Line,2013,9,0.915,0.84,0.915,0.796,0,15.92
OTP (Terminal) - 1 Line,2013,10,0.915,0.843,0.915,0.866,0,17.32
OTP (Terminal) - 1 Line,2013,11,0.915,0.845,0.915,0.862,0,17.24
OTP (Terminal) - 1 Line,2013,12,0.915,0.844,0.915,0.834,0,16.68
OTP (Terminal) - 1 Line,2014,1,0.915,0.743,0.915,0.743,0,14.86
OTP (Terminal) - 1 Line,2014,2,0.915,0.738,0.915,0.732,0,14.64
OTP (Terminal) - 1 Line,2014,3,0.915,0.747,0.915,0.764,0,15.28
OTP (Terminal) - 1 Line,2014,4,0.915,0.764,0.915,0.814,0,16.28
OTP (Terminal) - 1 Line,2014,5,0.915,0.775,0.915,0.785,0,15.7
OTP (Terminal) - 1 Line,2014,6,0.915,0.77,0.915,0.777,0,15.54
OTP (Terminal) - 1 Line,2014,7,0.915,0.774,0.915,0.795,0,15.9
OTP (Terminal) - 1 Line,2014,8,0.915,0.777,0.915,0.799,0,15.98
OTP (Terminal) - 1 Line,2014,9,0.915,0.784,0.915,0.844,0,16.88
OTP (Terminal) - 1 Line,2014,10,0.915,0.79,0.915,0.838,0,16.76
OTP (Terminal) - 1 Line,2014,11,0.915,0.792,0.915,0.811,0,16.22
OTP (Terminal) - 1 Line,2014,12,0.915,0.787,0.915,0.74,0,14.8
OTP (Terminal) - 1 Line,2015,1,0.75,0.762,0.75,0.762,1,15.24
OTP (Terminal) - 1 Line,2015,2,0.75,0.735,0.75,0.707,0,14.14
OTP (Terminal) - 1 Line,2015,3,0.75,0.74,0.75,0.749,0,14.98
OTP (Terminal) - 1 Line,2015,4,0.75,0.782,0.75,0.774,1,15.48
OTP (Terminal) - 1 Line,2015,5,0.75,0.757,0.75,0.787,1,15.74
OTP (Terminal) - 1 Line,2015,6,0.75,0.765,0.75,0.807,1,16.14
OTP (Terminal) - 1 Line,2015,7,0.75,0.761,0.75,0.734,0,14.68
OTP (Terminal) - 1 Line,2015,8,0.75,0.766,0.75,0.799,1,15.98
OTP (Terminal) - 1 Line,2015,9,0.75,0.768,0.75,0.787,1,15.74
OTP (Terminal) - 1 Line,2015,10,0.75,0.763,0.75,0.724,0,14.48
OTP (Terminal) - 1 Line,2015,11,0.75,0.762,0.75,0.753,1,15.06
OTP (Terminal) - 1 Line,2015,12,0.75,0.763,0.75,0.764,1,15.28
OTP (Terminal) - 1 Line,2016,1,0.75,0.771,0.75,0.771,1,15.42
OTP (Terminal) - 1 Line,2016,2,0.75,0.763,0.75,0.755,1,15.1
OTP (Terminal) - 1 Line,2016,3,0.75,0.732,0.75,0.678,0,13.56
OTP (Terminal) - 1 Line,2016,4,0.75,0.729,0.75,0.723,0,14.46
OTP (Terminal) - 1 Line,2016,5,0.75,0.737,0.75,0.77,1,15.4
OTP (Terminal) - 1 Line,2016,6,0.75,0.736,0.75,0.726,0,14.52
OTP (Terminal) - 1 Line,2016,7,0.75,0.739,0.75,0.761,1,15.22
OTP (Terminal) - 1 Line,2016,8,0.75,0.741,0.75,0.753,1,15.06
OTP (Terminal) - 1 Line,2016,9,0.75,0.729,0.75,0.635,0,12.7
OTP (Terminal) - 1 Line,2016,10,0.75,0.721,0.75,0.648,0,12.96
OTP (Terminal) - 1 Line,2016,11,0.75,0.7174,0.75,0.6803,0,13.606
OTP (Terminal) - 1 Line,2016,12,0.75,0.7144,0.75,0.6813,0,13.626
OTP (Terminal) - 1 Line,2017,1,0.75,0.7278,0.75,0.7278,0,14.556
OTP (Terminal) - 1 Line,2017,2,0.75,0.6672,0.75,0.6002,0,12.004
OTP (Terminal) - 1 Line,2017,3,0.75,0.6782,0.75,0.6983,0,13.966
OTP (Terminal) - 1 Line,2017,4,0.75,0.6849,0.75,0.7056,0,14.112
OTP (Terminal) - 1 Line,2017,5,0.75,0.6894,0.75,0.7063,0,14.126
OTP (Terminal) - 1 Line,2017,6,0.75,0.6822,0.75,0.6493,0,12.986
OTP (Terminal) - 1 Line,2017,7,0.75,0.6796,0.75,0.6635,0,13.27
OTP (Terminal) - 1 Line,2017,8,0.75,0.6876,0.75,0.7382,0,14.764
OTP (Terminal) - 1 Line,2017,9,0.75,0.6894,0.75,0.7045,0,14.09
OTP (Terminal) - 1 Line,2017,10,0.75,0.6925,0.75,0.7193,0,14.386
OTP (Terminal) - 1 Line,2017,11,0.75,0.6928,0.75,0.6957,0,13.914
OTP (Terminal) - 1 Line,2017,12,0.75,0.6939,0.75,0.7069,0,14.138
OTP (Terminal) - 2 Line,2011,1,0.811,0.674,0.811,0.674,0,13.48
OTP (Terminal) - 2 Line,2011,2,0.811,0.682,0.811,0.691,0,13.82
OTP (Terminal) - 2 Line,2011,3,0.811,0.697,0.811,0.723,0,14.46
OTP (Terminal) - 2 Line,2011,4,0.811,0.703,0.811,0.719,0,14.38
OTP (Terminal) - 2 Line,2011,5,0.811,0.687,0.811,0.624,0,12.48
OTP (Terminal) - 2 Line,2011,6,0.811,0.687,0.811,0.704,0,14.08
OTP (Terminal) - 2 Line,2011,7,0.811,0.69,0.811,0.707,0,14.14
OTP (Terminal) - 2 Line,2011,8,0.811,0.692,0.811,0.706,0,14.12
OTP (Terminal) - 2 Line,2011,9,0.811,0.69,0.811,0.672,0,13.44
OTP (Terminal) - 2 Line,2011,10,0.811,0.684,0.811,0.627,0,12.54
OTP (Terminal) - 2 Line,2011,11,0.811,0.679,0.811,0.631,0,12.62
OTP (Terminal) - 2 Line,2011,12,0.811,0.676,0.811,0.647,0,12.94
OTP (Terminal) - 2 Line,2012,1,0.811,0.631,0.811,0.631,0,12.62
OTP (Terminal) - 2 Line,2012,2,0.811,0.654,0.811,0.677,0,13.54
OTP (Terminal) - 2 Line,2012,3,0.811,0.66,0.811,0.673,0,13.46
OTP (Terminal) - 2 Line,2012,4,0.811,0.658,0.811,0.65,0,13
OTP (Terminal) - 2 Line,2012,5,0.811,0.647,0.811,0.606,0,12.12
OTP (Terminal) - 2 Line,2012,6,0.811,0.64,0.811,0.602,0,12.04
OTP (Terminal) - 2 Line,2012,7,0.811,0.638,0.811,0.629,0,12.58
OTP (Terminal) - 2 Line,2012,8,0.811,0.624,0.811,0.535,0,10.7
OTP (Terminal) - 2 Line,2012,9,0.811,0.619,0.811,0.57,0,11.4
OTP (Terminal) - 2 Line,2012,10,0.811,0.612,0.811,0.546,0,10.92
OTP (Terminal) - 2 Line,2012,11,0.811,0.61,0.811,0.586,0,11.72
OTP (Terminal) - 2 Line,2012,12,0.811,0.608,0.811,0.676,0,13.52
OTP (Terminal) - 2 Line,2013,1,0.811,0.591,0.811,0.591,0,11.82
OTP (Terminal) - 2 Line,2013,2,0.811,0.56,0.811,0.524,0,10.48
OTP (Terminal) - 2 Line,2013,3,0.811,0.574,0.811,0.602,0,12.04
OTP (Terminal) - 2 Line,2013,4,0.811,0.584,0.811,0.61,0,12.2
OTP (Terminal) - 2 Line,2013,5,0.811,0.582,0.811,0.575,0,11.5
OTP (Terminal) - 2 Line,2013,6,0.811,0.578,0.811,0.558,0,11.16
OTP (Terminal) - 2 Line,2013,7,0.811,0.577,0.811,0.568,0,11.36
OTP (Terminal) - 2 Line,2013,8,0.811,0.572,0.811,0.54,0,10.8
OTP (Terminal) - 2 Line,2013,9,0.811,0.574,0.811,0.588,0,11.76
OTP (Terminal) - 2 Line,2013,10,0.811,0.571,0.811,0.548,0,10.96
OTP (Terminal) - 2 Line,2013,11,0.811,0.563,0.811,0.483,0,9.66
OTP (Terminal) - 2 Line,2013,12,0.811,0.56,0.811,0.519,0,10.38
OTP (Terminal) - 2 Line,2014,1,0.811,0.424,0.811,0.424,0,8.48
OTP (Terminal) - 2 Line,2014,2,0.811,0.364,0.811,0.294,0,5.88
OTP (Terminal) - 2 Line,2014,3,0.811,0.377,0.811,0.402,0,8.04
OTP (Terminal) - 2 Line,2014,4,0.811,0.388,0.811,0.419,0,8.38
OTP (Terminal) - 2 Line,2014,5,0.811,0.382,0.811,0.401,0,8.02
OTP (Terminal) - 2 Line,2014,6,0.811,0.402,0.811,0.456,0,9.12
OTP (Terminal) - 2 Line,2014,7,0.811,0.425,0.811,0.56,0,11.2
OTP (Terminal) - 2 Line,2014,8,0.811,0.439,0.811,0.533,0,10.66
OTP (Terminal) - 2 Line,2014,9,0.811,0.453,0.811,0.568,0,11.36
OTP (Terminal) - 2 Line,2014,10,0.811,0.464,0.811,0.546,0,10.92
OTP (Terminal) - 2 Line,2014,11,0.811,0.464,0.811,0.467,0,9.34
OTP (Terminal) - 2 Line,2014,12,0.811,0.466,0.811,0.489,0,9.78
OTP (Terminal) - 2 Line,2015,1,0.75,0.473,0.75,0.473,0,9.46
OTP (Terminal) - 2 Line,2015,2,0.75,0.423,0.75,0.37,0,7.4
OTP (Terminal) - 2 Line,2015,3,0.75,0.427,0.75,0.435,0,8.7
OTP (Terminal) - 2 Line,2015,4,0.75,0.482,0.75,0.466,0,9.32
